role,company,experience,location,salary,skills,description,job_type,duration,posted_date,job_url
Android App Development,BridgeLogic Software Private Limited,0 years (Fresher),,"₹ 3,000 - 5,000 /month",Android | Java | Kotlin | Certificate | Job offer,"About the internship Selected intern's day-to-day responsibilities include: 1. Work on live projects with the development team 2. Assist in coding, testing, and debugging 3. Learn and implement industry best practices 4. Collaborate with senior developers Skill(s) required Android Java Kotlin Earn certifications in these skills Learn Android Learn Java Learn Kotlin Who can apply Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 27th Feb'26 and 3rd Apr'26 3. are available for duration of 3 months 4. are from Indore only 5. have relevant skills and interests Perks Certificate Job offer Additional information Job offer: On successful conversion to a permanent employee, the candidate can expect a salary of ₹ 200000 to 300000/year Number of openings 2 About BridgeLogic Software Private Limited Website An ISO 9001:2008 certified leading IT company providing professional and high-quality college management software (",Internship,3 Months,,https://internshala.com/internship/detail/android-app-development-internship-in-indore-at-bridgelogic-software-private-limited1772275129
Full Stack Development,Internbuddy,0 years (Fresher),,"₹ 3,000 - 5,000 /month",AngularJS | HTML | JavaScript | MongoDB | MySQL | Node.js | Python | React | Certificate | Letter of recommendation | Flexible work hours | Informal dress code | Free snacks & beverages,"About the internship Are you a tech-savvy individual with a passion for 'Full Stack Development?' Internbuddy is looking for a talented intern to join our team! As a Full Stack Development intern at Internbuddy, you will have the opportunity to work on exciting projects and gain valuable real-world experience. Selected intern's day-to-day responsibilites include: 1. Develop and maintain web applications using MySQL, HTML, Python, AngularJS, MongoDB, Node.js, React, and JavaScript. 2. Collaborate with cross-functional teams to design, develop, and implement new features. 3. Troubleshoot and debug code to ensure optimal performance and functionality. 4. Stay up-to-date with the latest technologies and trends in Full Stack Development. 5. Assist in testing and deploying applications to production environments. 6. Participate in code reviews and provide feedback to team members. 7. Contribute to the overall success of the team by taking on additional tasks and responsibilities as needed. I",Internship,6 Months,,https://internshala.com/internship/detail/full-stack-development-internship-in-raipur-at-internbuddy1773490181
WordPress Development,ViralChilly,0 years (Fresher),,"₹ 3,000 - 5,000 /month",CSS | HTML | JavaScript | PHP | Search Engine Optimization (SEO) | WordPress | Certificate | Letter of recommendation | Informal dress code | 5 days a week | Free snacks & beverages,"About the internship ViralChilly is a Jaipur-based digital marketing agency helping brands across the US, UK, Canada, and Australia grow through SEO, paid marketing, and web development. Trusted by clients such as Canva, Adobe, PharmEasy, Kalera Ayurveda, Stillio, and Mobilocard, ViralChilly operates with a young, execution-first mindset focused on real results, continuous learning, and meaningful impact. The team values ownership, creativity, and hands-on problem solving in a fast-paced agency environment. Selected intern's day-to-day responsibilities include: 1. Develop and customize WordPress websites, themes, and plugins. 2. Implement responsive designs optimized for desktop and mobile devices. 3. Optimize website performance, speed, and SEO. 4. Collaborate with designers, marketers, and account teams to execute website requirements. 5. Troubleshoot technical issues and resolve bugs efficiently. 6. Maintain and update existing client websites. 7. Integrate plugins, tools, and third",Internship,4 Months,,https://internshala.com/internship/detail/wordpress-development-internship-in-jaipur-at-viralchilly1773407403
WordPress Development,N D Savla & Associates,0 years (Fresher),,"₹ 10,000 - 12,000 /month",CSS | Google Analytics | HTML | JavaScript | Search Engine Optimization (SEO) | WordPress,"About the internship Intern's day-to-day responsibilities include: 1. Develop and manage websites using WordPress. 2.  Create and design web pages using Elementor. 3. Maybe application of knowledge of basic SEO practices such as meta tags, meta descriptions, and proper use of H1, H2, H3 tags. 4. Monitor website performance using Google Search Console and Google Analytics 5. Ensure website pages are responsive, optimized, and user-friendly Skill(s) required CSS Google Analytics HTML JavaScript Search Engine Optimization (SEO) WordPress Earn certifications in these skills Learn CSS Learn Google Analytics Learn HTML Learn Node.JS using Javascript Learn Software Testing using Javascript Learn JavaScript Learn SEO Learn WordPress + 1 more skills Who can apply Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 13th Mar'26 and 17th Apr'26 3. are available for duration of 6 months 4. are from Mumbai only 5. have releva",Internship,6 Months,,https://internshala.com/internship/detail/wordpress-development-internship-in-mumbai-at-n-d-savla-associates1773395759
Full Stack Development,OMNIDYA TECH LLP,0 years (Fresher),,"₹ 12,501 - 20,000 /month",AngularJS | Bubble.io | HTML | JavaScript | MongoDB | Node.js | PHP | Python | React | Certificate | Letter of recommendation | Informal dress code | 5 days a week,"About the internship Full Stack Developer Intern .management, routing, and form handling. Design and implement REST/GraphQL APIs using Node.js (Express/NestJS) or Python (FastAPI). Write optimized SQL queries for PostgreSQL and support data modeling and schema updates. Integrate caching and messaging systems using Redis. Work with AWS services (S3, Lambda, API Gateway, CloudWatch, IoT Core) for cloud deployment and device communication. Implement secure authentication and authorization mechanisms (JWT/OAuth2, RBAC). Contribute to real-time features using WebSockets and support video streaming workflows (HLS/DASH/RTMP). Participate in testing (Jest/Pytest), debugging, and peer code reviews. Support CI/CD pipelines and Docker-based development environments. Collaborate cross-functionally with backend, AI, and product teams to ship production-ready features. Document APIs, deployment processes, and technical specifications clearly. Skill(s) required AngularJS Bubble.io HTML JavaScript Mon",Internship,6 Months,,https://internshala.com/internship/detail/full-stack-development-internship-in-ahmedabad-at-omnidya-tech-llp1772204391
Web Development,Plan D Media,0 years (Fresher),,"₹ 6,000 - 9,000 /month",Bootstrap | CSS | HTML | JavaScript | jQuery | MySQL | Node.js | PHP | React | Vibe Coding | WordPress | Certificate | Letter of recommendation | Flexible work hours | Informal dress code | 5 days a week | Free snacks & beverages,"About part time job/internship We are seeking a talented and enthusiastic Web Development intern to join our team at Plan D Media. If you have a passion for Vibe Coding, PHP, HTML, CSS, WordPress, Bootstrap, React, MySQL, JavaScript, jQuery, and Node.js, this is the perfect opportunity for you to gain hands-on experience in a dynamic and fast-paced environment. Key Responsibilities: 1. Collaborate with the development team to create and maintain websites for our clients. 2. Utilize your skills in Vibe Coding to bring innovative ideas and solutions to our projects - excellent knowledge in Google Antigravity, Cursor, Google Ai Studio, Claude is a must 3. Work with PHP, HTML, CSS, and WordPress to develop responsive and user-friendly websites. 4. Implement Bootstrap and React to enhance the design and functionality of web applications. 5. Manage databases using MySQL and optimize performance for efficient data storage. 6. Use JavaScript and jQuery to add interactive elements to websites a",Internship,4 Months,3 days ago,https://internshala.com/internship/detail/web-development-internship-in-kolkata-at-plan-d-media1773322534
Software Development Engineering (Web),Suresh Dani's Classes,0 years (Fresher),,"₹ 2,000 /month",CSS | HTML | Java | JavaScript | jQuery | MySQL | PHP | Python | Certificate | Letter of recommendation | 5 days a week,"About the internship Are you a passionate software developer looking to gain hands-on experience in the field? Join Suresh Dani's Classes as a software development engineering (web) intern! Selected intern's day-to-day responsibilities include: 1. Collaborate with the development team to design and implement new features for our online educational platform using Java, PHP, MySQL, HTML, CSS, JavaScript, jQuery, and Python. 2. Maintain and optimize existing codebase to ensure performance and scalability. 3. Participate in code reviews and provide feedback to improve code quality. 4. Troubleshoot and debug issues to ensure a seamless user experience. 5. Stay up-to-date with the latest technologies and trends in web development. 6. Assist in testing and deployment of new features. 7. Contribute to the overall success of the team by taking on additional tasks as needed. If you are a self-motivated individual with a strong technical background and a desire to learn and grow, apply now and ta",Internship,1 Week,5 days ago,https://internshala.com/internship/detail/software-development-engineering-web-internship-in-mumbai-at-suresh-danis-classes1773140431
Python Development,Suresh Dani's Classes,0 years (Fresher),,"₹ 2,000 - 2,001 /month",CSS | Django | Flask | HTML | Machine Learning | Python | REST API | Certificate | Letter of recommendation | 5 days a week,"About the internship Are you a passionate Python developer with knowledge of HTML, CSS, Django, Machine Learning, REST API, and Flask? Suresh Dani's Classes is looking for a Python Development intern to join our dynamic team and contribute to our innovative projects. As an intern, you will have the opportunity to work closely with experienced developers and gain hands-on experience in developing cutting-edge applications. Key responsibilities include: 1. Collaborating with the development team to design and implement new features 2. Writing clean, efficient, and maintainable code using Python and Django 3. Utilizing machine learning algorithms to enhance application functionality 4. Integrating REST API services into the application for seamless data exchange 5. Developing web applications using Flask framework 6. Troubleshooting and debugging issues to ensure smooth application performance 7. Staying updated on the latest technologies and best practices in Python development. If you a",Internship,1 Week,5 days ago,https://internshala.com/internship/detail/python-development-internship-in-mumbai-at-suresh-danis-classes1773140483
JavaScript Development,Suresh Dani's Classes,0 years (Fresher),,"₹ 2,000 /month",CSS | HTML | JavaScript | jQuery | Node.js | React | React Native | Redux | Certificate | Letter of recommendation | 5 days a week,"About the internship Are you a talented JavaScript developer looking to gain real-world experience? Join our team at Suresh Dani's Classes as a JavaScript development intern! We are seeking a motivated individual with knowledge in HTML, React Native, Redux, CSS, JavaScript, jQuery, Node.js, and React. This is a unique opportunity to work on exciting projects and learn from industry experts. Selected intern's day-to-day responsibilities include: 1. Collaborate with senior developers to design and implement new features 2. Write clean, efficient, and maintainable code for web applications 3. Assist in debugging and troubleshooting issues 4. Participate in code reviews and provide feedback to improve code quality 5. Stay up-to-date on the latest trends and best practices in JavaScript development 6. Communicate effectively with team members to ensure project deadlines are met 7. Take on additional tasks and projects as needed to support the development team Don't miss out on this chance t",Internship,1 Week,5 days ago,https://internshala.com/internship/detail/javascript-development-internship-in-mumbai-at-suresh-danis-classes1773137647
Full Stack Development,Custofar Technologies Pvt. Ltd.,0 years (Fresher),,"₹ 7,000 - 10,000 /month",Algorithms | Data Structures | FastAPI | JavaScript | Next.js | Python | React | React Native | Certificate | Flexible work hours | Informal dress code | 5 days a week,"About the internship Selected intern's day-to-day responsibilities include: 1. Work on our flagship social media product, socialgraphs.in 2. End to end development of feature based on requirements 3. Building responsive UI 4. Improving and refining product features 5. Participate in product feature planning 6. Participate in product testing Skill(s) required Algorithms Data Structures FastAPI JavaScript Next.js Python React React Native Earn certifications in these skills Learn Algorithms Learn Data Structures Learn Node.JS using Javascript Learn Software Testing using Javascript Learn JavaScript Learn Python Learn ReactJS Who can apply Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 28th Feb'26 and 4th Apr'26 3. are available for duration of 6 months 4. are from Nagpur only 5. have relevant skills and interests Perks Certificate Flexible work hours Informal dress code 5 days a week Number of openings 2 Abou",Internship,6 Months,,https://internshala.com/internship/detail/full-stack-development-internship-in-nagpur-at-custofar-technologies-pvt-ltd1772260157
